,Daily_Return
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,-0.05617264022712243
2024-08-02,-0.04091750335482047
2024-08-05,-0.03680228086512616
2024-08-06,0.02937916849297162
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-26,-0.006532553216826109
2024-08-27,-0.0023312890757886118
2024-08-28,-0.027068594699742765
2024-08-29,0.00849136935640682
2024-08-30,0.006902962533192447
2024-09-03,-0.016602965718521268
2024-09-04,-0.004888544200562728
2024-09-05,0.0014570454007736267
2024-09-06,-0.02983607244550235
2024-09-09,0.009517575137889978
2024-09-10,-0.025662665322172318
2024-09-11,-0.0012924145921818786
2024-09-12,0.0
2024-09-13,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,-0.015035724233533276
2024-09-20,0.0017189678349827098
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,-0.028461613389518914
2024-09-26,0.011009713905452134
2024-09-27,0.0
2024-09-30,-0.01454829110547251
2024-10-01,-0.002589789329393577
2024-10-02,-0.026504479954281956
2024-10-03,-0.012191198686586135
2024-10-04,-0.017284590136735223
2024-10-07,-0.008398983744147048
2024-10-08,0.010272728251947916
2024-10-09,-6.201764526880815e-05
2024-10-10,0.0
2024-10-11,0.0
2024-10-14,0.0
2024-10-15,-0.0059175656390223486
2024-10-16,0.001967969009611048
2024-10-17,-0.0036424837097209783
2024-10-18,0.0
2024-10-21,-0.022112920392350466
2024-10-22,-0.0027106443922733092
2024-10-23,-0.0018062604831042828
2024-10-24,-0.00684103364482902
2024-10-25,-0.002501412545370729
2024-10-28,0.0013328759054691552
2024-10-29,-0.03302314664172401
2024-10-30,0.0014459943488116522
2024-10-31,-0.09844451674561738
2024-11-01,-0.0008625339225131201
2024-11-04,0.006790362566288399
2024-11-05,0.011490633347306156
2024-11-06,-0.041244706266772235
2024-11-07,0.0052258041463659755
2024-11-08,0.0
2024-11-11,0.0
2024-11-12,-0.02186182593499053
2024-11-13,8.294522145213534e-05
2024-11-14,0.0
2024-11-15,-0.04508704619124593
2024-11-18,0.0005164594615132412
2024-11-19,-0.02061579519457457
2024-11-20,0.0006685070303888985
2024-11-21,0.0
2024-11-22,0.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,0.0
2024-11-29,0.0
2024-12-02,0.0
2024-12-03,-0.005359345101992763
2024-12-04,0.0026601719004097912
2024-12-05,-0.03201835271635567
2024-12-06,-0.002882797366029033
2024-12-09,-0.04754959664484382
2024-12-10,-0.00734036848089703
2024-12-11,0.010641441616240144
2024-12-12,0.000200882019796067
2024-12-13,-0.019320459882885777
2024-12-16,-0.009342941735793642
2024-12-17,-0.006982977670790258
2024-12-18,-0.04151100225367932
2024-12-19,-0.007242490134503621
2024-12-20,0.01694396004409815
2024-12-23,0.0
2024-12-24,0.0
2024-12-26,0.0
2024-12-27,0.0
2024-12-30,-0.017927147330565107
2024-12-31,0.0018235446882559625
2025-01-02,-0.003113687509358587
2025-01-03,0.003799815588340083
2025-01-06,-0.0006172398915552657
2025-01-07,0.0014606855888821269
2025-01-08,0.00016103717812265828
2025-01-10,-0.026511768015541448
2025-01-13,-0.02477820399871955
2025-01-14,0.0015262517822614008
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-21,0.0
2025-01-22,0.0
2025-01-23,0.0
2025-01-24,0.0
2025-01-27,-0.1392525666064437
2025-01-28,0.016477428509658276
2025-01-29,-0.03162475508099627
2025-01-30,0.014736834102546226
2025-01-31,-0.042190073910622905
2025-02-03,-0.0038344752434722462
2025-02-04,0.00850872074804987
2025-02-05,-0.001885780230731271
2025-02-06,-0.05665376096349484
2025-02-07,-0.0008725149639896568
2025-02-10,-0.02410175793617153
2025-02-11,-0.005339912762918342
2025-02-12,-0.02820562913540614
2025-02-13,0.011041077114044118
2025-02-14,-0.048983528372014584
2025-02-18,-0.0032061284755247055
2025-02-19,-0.01218345729309911
2025-02-20,-0.007287459194785462
2025-02-21,-0.06525284229883654
2025-02-24,-0.011235626009358679
2025-02-25,-0.042789969169645725
2025-02-26,0.00791983284254516
2025-02-27,-0.01614044339650511
